Wavelength,Dual-GCaMP6f,Dual-tdTomato
897.789,-8.01E-05,1.23E-05
898.523,0.000165661,-3.23E-06
899.257,0.000165514,2.60E-05
899.991,0.000288307,3.71E-05
900.725,4.27E-05,5.44E-05
901.458,-8.30E-05,8.58E-05
902.192,-8.19E-05,5.78E-05
902.925,-0.000204128,1.77E-05
903.659,0.000655864,-1.96E-05
904.392,0.000286486,-4.83E-05
905.125,-3.29E-04,-3.15E-05
905.859,-8.57E-05,-3.76E-05
906.592,3.52E-05,-5.84E-05
907.325,-7.78E-05,2.38E-05
908.058,0.000412461,0.000127331
908.791,0.000159168,0.000225764
909.523,-0.000208476,2.90E-04
910.256,-2.06E-04,0.00020247
910.989,4.24E-05,0.000128755
911.721,3.84E-05,6.85E-05
912.454,2.80E-04,4.18E-05
913.186,0.000286633,-3.57E-05
913.918,0.000162087,-8.01E-05
914.651,2.84E-04,-8.46E-05
915.383,2.88E-04,-6.45E-05
916.115,4.01E-05,-2.01E-05
916.847,4.05E-05,-2.69E-05
917.579,0.000408153,-5.55E-05
918.311,4.49E-05,-4.11E-05
919.042,0.000166591,-3.80E-05
919.774,-8.22E-05,-3.37E-05
920.506,4.26E-05,-2.53E-05
921.237,-8.45E-05,-2.93E-05
921.968,-0.000335274,-2.16E-05
922.7,0.00028678,-1.68E-05
923.431,-7.91E-05,-2.12E-05
924.162,1.60E-04,-1.99E-05
924.893,3.70E-05,-1.09E-05
925.624,-8.40E-05,-9.87E-07
926.355,2.82E-04,1.09E-06
927.086,0.000157181,-1.58E-06
927.817,5.28E-04,4.09E-07
928.547,4.01E-05,4.18E-06
929.278,0.000272972,3.19E-06
930.009,-0.000209162,4.11E-07
930.739,-8.81E-05,-1.08E-06
931.469,-0.000213451,1.32E-07
932.2,0.000399907,5.57E-07
932.93,-0.000205852,5.03E-07
933.66,0.000160755,5.38E-07
934.39,2.97E-05,1.30E-06
935.12,-8.98E-05,2.52E-06
935.85,0.000523758,2.49E-06
936.579,-9.52E-05,1.90E-06
937.309,-8.79E-05,3.42E-06
938.039,-0.000212648,3.19E-06
938.768,0.000151481,2.72E-06
939.498,-9.04E-05,2.28E-06
940.227,0.000645072,1.13E-06
940.956,3.13E-05,1.46E-06
941.686,0.000523386,1.69E-06
942.415,0.000396715,-9.70E-07
943.144,0.000154282,-1.77E-06
943.873,0.00015247,-3.40E-06
944.602,0.000150002,-6.06E-06
945.33,-0.00021536,-9.95E-06
946.059,0.000275116,-1.92E-05
946.788,2.99E-05,-3.21E-05
947.516,0.000521946,-5.08E-05
948.245,2.99E-05,-7.41E-05
948.973,-0.000100392,-0.000115563
949.701,-9.36E-05,-0.000175949
950.43,5.23E-04,-0.000266347
